Acc	Label	Tag
GCA_000203855.3	Lactobacillus plantarum	other
GCA_000388095.2	Lactobacillus paracasei	dairy
GCA_000400585.1	Lactobacillus paracasei	dairy
GCA_000406345.2	Lactobacillus gasseri	intestinal
GCA_000432055.1	Lactobacillus ruminis	intestinal
GCA_000442765.1	Lactobacillus amylovorus	intestinal
GCA_000466785.3	Lactobacillus fermentum	dairy
GCA_000466805.1	Lactobacillus jensenii	other
GCA_000466845.1	Lactobacillus plantarum	other
GCA_000466865.2	Lactobacillus rhamnosus	dairy
GCA_000466885.2	Lactobacillus crispatus	other
GCA_000466905.2	Lactobacillus plantarum	dairy
GCA_000472265.1	Lactobacillus fermentum	other
GCA_000497795.1	Lactobacillus acidophilus	dairy
GCA_000498955.2	Lactobacillus fabifermentans	other
GCA_000504525.1	Lactobacillus equi	other
GCA_000507045.1	Lactobacillus plantarum	other
GCA_000565485.1	Lactobacillus fabifermentans	other
GCA_000604145.1	Lactobacillus plantarum	dairy
GCA_000648755.1	Lactobacillus plantarum subsp. plantarum	high_salt;low_pH
GCA_000685785.1	Lactobacillus animalis	other
GCA_000687335.1	Lactobacillus kunkeei	other
GCA_000699985.1	Lactobacillus rhamnosus	intestinal
GCA_000708635.1	Pediococcus pentosaceus	other
GCA_000712555.1	Lactobacillus reuteri	low_pH
GCA_000712565.2	Lactobacillus reuteri	low_pH
GCA_000722535.2	Lactobacillus reuteri	low_pH
GCA_000731855.1	Lactobacillus plantarum	liquor
GCA_000735255.1	Lactobacillus rhamnosus	intestinal
GCA_000741865.1	Lactobacillus kunkeei	intestinal
GCA_000743075.1	Lactobacillus rhamnosus	other
GCA_000743895.1	Lactobacillus plantarum	other
GCA_000758145.1	Lactobacillus paraplantarum	other
GCA_000758185.1	Lactobacillus reuteri	low_pH
GCA_000760615.1	Lactobacillus kullabergensis	intestinal
GCA_000764285.1	Lactobacillus plantarum	other
GCA_000766905.1	Lactobacillus mucosae	intestinal
GCA_000784375.1	Lactobacillus rhamnosus	intestinal
GCA_000784395.1	Lactobacillus rhamnosus	intestinal
GCA_000784405.1	Lactobacillus rhamnosus	intestinal
GCA_000785105.1	Lactobacillus curieae	high_salt
GCA_000801045.1	Lactobacillus rhamnosus	intestinal
GCA_000807975.1	Lactobacillus brevis	other
GCA_000813025.1	Lactobacillus ruminis	intestinal
GCA_000814185.1	Lactobacillus casei	high_salt;low_pH
GCA_000814485.1	Lactobacillus rhamnosus	other
GCA_000814725.1	Lactobacillus brevis	other
GCA_000814735.1	Lactobacillus fructivorans	other
GCA_000827145.1	Lactobacillus paracasei	dairy
GCA_000830375.1	Lactobacillus kunkeei	intestinal
GCA_000830535.1	Lactobacillus plantarum	intestinal
GCA_000831645.3	Lactobacillus heilongjiangensis	high_salt;low_pH
GCA_000833395.1	Lactobacillus brevis	other
GCA_000833405.1	Lactobacillus brevis	liquor;beer
GCA_000833415.1	Lactobacillus brevis	intestinal
GCA_000875905.1	Lactobacillus brevis	intestinal
GCA_000931425.1	Lactobacillus plantarum	other
GCA_000932035.1	Lactobacillus rhamnosus	intestinal
GCA_000934625.1	Lactobacillus acidophilus	dairy
GCA_000934805.1	Lactobacillus delbrueckii subsp. bulgaricus	dairy
GCA_000956195.1	Lactobacillus plantarum	intestinal
GCA_000962875.1	Pediococcus damnosus	liquor;beer
GCA_000965255.1	Lactobacillus spicheri	other
GCA_000966475.1	Lactobacillus plantarum	dairy
GCA_000967195.1	Lactobacillus kullabergensis	intestinal
GCA_000967245.1	Lactobacillus mellis	intestinal
GCA_000970735.1	Lactobacillus apis	intestinal
GCA_000970755.1	Lactobacillus kimbladii	intestinal
GCA_000970775.1	Lactobacillus melliventris	intestinal
GCA_000970795.1	Lactobacillus mellifer	intestinal
GCA_000970855.1	Lactobacillus helsingborgensis	intestinal
GCA_000980505.1	Lactobacillus amylovorus	other
GCA_001005625.1	Lactobacillus rhamnosus	other
GCA_001005695.1	Lactobacillus plantarum	intestinal
GCA_001005805.1	Lactobacillus plantarum	other
GCA_001006945.1	Lactobacillus amylovorus	other
GCA_001008745.1	Lactobacillus ruminis	other
GCA_001008755.1	Lactobacillus ruminis	other
GCA_001008765.1	Lactobacillus ruminis	intestinal
